city,lat,lng,country,iso2,admin,capital,population,population_proper
Khrystynivka,48.824883,29.968055,Ukraine,UA,Cherkaska Oblast,minor,,
Yarmolyntsi,49.192363,26.837252,Ukraine,UA,Khmelnytska Oblast,minor,,
Vasylivka,47.436944,35.274167,Ukraine,UA,Zaporizka Oblast,minor,,
Ordzhonikidze,47.667625,34.059574,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Shatsk,51.502084,23.93806,Ukraine,UA,Volynska Oblast,minor,,
Volodymyrets,51.421295,26.144688,Ukraine,UA,Rivnenska Oblast,minor,,
Novyy Buh,47.693084,32.521601,Ukraine,UA,Mykolayivska Oblast,minor,,
Stara Vyzhivka,51.437625,24.439971,Ukraine,UA,Volynska Oblast,minor,,
Chortkiv,49.017087,25.798045,Ukraine,UA,Ternopilska Oblast,minor,,
Stara Synyava,49.603177,27.619091,Ukraine,UA,Khmelnytska Oblast,minor,,
Znamyanka,48.712778,32.664722,Ukraine,UA,Kirovohradska Oblast,minor,,
Zalishchyky,48.643314,25.737944,Ukraine,UA,Ternopilska Oblast,minor,,
Orikhiv,47.567311,35.785748,Ukraine,UA,Zaporizka Oblast,minor,,
Illintsi,49.104791,29.217732,Ukraine,UA,Vinnytska Oblast,minor,,
Kotelva,50.068645,34.758618,Ukraine,UA,Poltavska Oblast,minor,,
Shyryayeve,47.380518,30.196385,Ukraine,UA,Odeska Oblast,minor,,
Chutove,49.710431,35.165709,Ukraine,UA,Poltavska Oblast,minor,,
Velykyy Burluk,50.061695,37.383728,Ukraine,UA,Kharkivska Oblast,minor,,
Velykyy Bereznyy,48.897208,22.460516,Ukraine,UA,Zakarpatska Oblast,minor,,
Kryzhopil,48.382889,28.866217,Ukraine,UA,Vinnytska Oblast,minor,,
Prymorsk,46.734786,36.344246,Ukraine,UA,Zaporizka Oblast,minor,,
Starobilsk,49.278321,38.910692,Ukraine,UA,Luhanska Oblast,minor,,
Lyubar,49.92045,27.75918,Ukraine,UA,Zhytomyrska Oblast,minor,,
Katerynopil,48.955299,30.968234,Ukraine,UA,Cherkaska Oblast,minor,,
Vilshanka,48.236038,30.876081,Ukraine,UA,Kirovohradska Oblast,minor,,
Sambir,49.518301,23.197525,Ukraine,UA,Lvivska Oblast,minor,,
Ivanivka,46.72082,34.552982,Ukraine,UA,Khersonska Oblast,minor,,
Ivanivka,46.975687,30.469983,Ukraine,UA,Odeska Oblast,minor,,
Makariv,50.464077,29.811277,Ukraine,UA,Kyyivska Oblast,minor,,
Manhush,47.055817,37.310677,Ukraine,UA,Donetska Oblast,minor,,
Zvenyhorodka,49.078664,30.967545,Ukraine,UA,Cherkaska Oblast,minor,,
Vynohradiv,48.144201,23.02629,Ukraine,UA,Zakarpatska Oblast,minor,,
Semenivka,52.178273,32.581827,Ukraine,UA,Chernihivska Oblast,minor,,
Perechyn,48.736157,22.481999,Ukraine,UA,Zakarpatska Oblast,minor,,
Sovyetskyy,45.34267,34.924631,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Narodychi,51.202858,29.082281,Ukraine,UA,Zhytomyrska Oblast,minor,,
Markivka,49.522896,39.570548,Ukraine,UA,Luhanska Oblast,minor,,
Krasnyy Lyman,48.988365,37.802247,Ukraine,UA,Donetska Oblast,minor,,
Sharhorod,48.738346,28.084969,Ukraine,UA,Vinnytska Oblast,minor,,
Nyzhnohirskyy,45.447894,34.738392,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Bilozerka,46.624798,32.442509,Ukraine,UA,Khersonska Oblast,minor,,
Tyachiv,48.011795,23.570611,Ukraine,UA,Zakarpatska Oblast,minor,,
Murovani Kurylivtsi,48.723477,27.518919,Ukraine,UA,Vinnytska Oblast,minor,,
Vinkivtsi,49.034617,27.236172,Ukraine,UA,Khmelnytska Oblast,minor,,
Mezhova,48.253177,36.734685,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Polonne,50.124238,27.510874,Ukraine,UA,Khmelnytska Oblast,minor,,
Yampil,48.242404,28.281947,Ukraine,UA,Vinnytska Oblast,minor,,
Hrebinka,50.117116,32.436098,Ukraine,UA,Poltavska Oblast,minor,,
Peremyshlyany,49.665229,24.558457,Ukraine,UA,Lvivska Oblast,minor,,
Skadovsk,46.116102,32.911237,Ukraine,UA,Khersonska Oblast,minor,,
Krasnodon,48.292352,39.739213,Ukraine,UA,Luhanska Oblast,minor,,
Novoarkhanhelsk,48.658029,30.818214,Ukraine,UA,Kirovohradska Oblast,minor,,
Seredyna-Buda,52.189025,34.036392,Ukraine,UA,Sumska Oblast,minor,,
Pavlohrad,48.534261,35.870985,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Nova Odesa,47.307783,31.785063,Ukraine,UA,Mykolayivska Oblast,minor,,
Dolyna,48.973302,24.00944,Ukraine,UA,Ivano-Frankivska Oblast,minor,,
Busk,49.965484,24.612269,Ukraine,UA,Lvivska Oblast,minor,,
Novoukrayinka,48.326353,31.528521,Ukraine,UA,Kirovohradska Oblast,minor,,
Irshava,48.31667,23.038459,Ukraine,UA,Zakarpatska Oblast,minor,,
Shepetivka,50.185447,27.063647,Ukraine,UA,Khmelnytska Oblast,minor,,
Pokrovske,47.978518,36.225599,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Ovruch,51.324595,28.803514,Ukraine,UA,Zhytomyrska Oblast,minor,,
Derhachi,50.106586,36.121116,Ukraine,UA,Kharkivska Oblast,minor,,
Sokal,50.474378,24.282882,Ukraine,UA,Lvivska Oblast,minor,,
Lanivtsi,49.863275,26.09082,Ukraine,UA,Ternopilska Oblast,minor,,
Volnovakha,47.601034,37.496744,Ukraine,UA,Donetska Oblast,minor,,
Chornomorske,45.506572,32.697765,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Novomoskovsk,48.637985,35.245477,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Horodenka,48.672738,25.50163,Ukraine,UA,Ivano-Frankivska Oblast,minor,,
Maryinka,47.945271,37.505436,Ukraine,UA,Donetska Oblast,minor,,
Hlukhiv,51.678221,33.916204,Ukraine,UA,Sumska Oblast,minor,,
Ochakiv,46.612829,31.549822,Ukraine,UA,Mykolayivska Oblast,minor,,
Oleksandrivka,48.708368,36.91561,Ukraine,UA,Donetska Oblast,minor,,
Berezanka,46.852615,31.388025,Ukraine,UA,Mykolayivska Oblast,minor,,
Lyubashivka,47.837157,30.259763,Ukraine,UA,Odeska Oblast,minor,,
Chemerivtsi,49.01179,26.342035,Ukraine,UA,Khmelnytska Oblast,minor,,
Lyubeshiv,51.765346,25.5142,Ukraine,UA,Volynska Oblast,minor,,
Berehove,48.20555,22.644176,Ukraine,UA,Zakarpatska Oblast,minor,,
Savran,48.13219,30.082466,Ukraine,UA,Odeska Oblast,minor,,
Putyvl,51.337449,33.870659,Ukraine,UA,Sumska Oblast,minor,,
Kuybysheve,47.358002,36.649075,Ukraine,UA,Zaporizka Oblast,minor,,
Demydivka,50.428142,25.336187,Ukraine,UA,Rivnenska Oblast,minor,,
Mykolayivka,47.541348,30.756146,Ukraine,UA,Odeska Oblast,minor,,
Shevchenkove,49.695853,37.173484,Ukraine,UA,Kharkivska Oblast,minor,,
Buchach,49.062539,25.387981,Ukraine,UA,Ternopilska Oblast,minor,,
Bobrovytsya,50.746927,31.394802,Ukraine,UA,Chernihivska Oblast,minor,,
Hertsa,48.150621,26.259913,Ukraine,UA,Chernivetska Oblast,minor,,
Rozhyshche,50.915425,25.269055,Ukraine,UA,Volynska Oblast,minor,,
Hadyach,50.371118,33.990988,Ukraine,UA,Poltavska Oblast,minor,,
Pidhaytsi,49.268535,25.133412,Ukraine,UA,Ternopilska Oblast,minor,,
Tetiyiv,49.376698,29.664738,Ukraine,UA,Kyyivska Oblast,minor,,
Staryy Sambir,49.438556,23.000558,Ukraine,UA,Lvivska Oblast,minor,,
Novomykolayivka,47.978099,35.910195,Ukraine,UA,Zaporizka Oblast,minor,,
Rozdilna,46.851755,30.079543,Ukraine,UA,Odeska Oblast,minor,,
Pervomayskyy,49.387419,36.214707,Ukraine,UA,Kharkivska Oblast,minor,,
Skvyra,49.731771,29.665694,Ukraine,UA,Kyyivska Oblast,minor,,
Kominternivske,46.8128,30.939339,Ukraine,UA,Odeska Oblast,minor,,
Monastyryshche,48.990902,29.8047,Ukraine,UA,Cherkaska Oblast,minor,,
Rohatyn,49.409003,24.609265,Ukraine,UA,Ivano-Frankivska Oblast,minor,,
Kodyma,48.09875,29.12463,Ukraine,UA,Odeska Oblast,minor,,
Mykhaylivka,47.272347,35.222352,Ukraine,UA,Zaporizka Oblast,minor,,
Vovchansk,50.290785,36.94108,Ukraine,UA,Kharkivska Oblast,minor,,
Ustynivka,47.95507,32.536738,Ukraine,UA,Kirovohradska Oblast,minor,,
Koryukivka,51.768772,32.24813,Ukraine,UA,Chernihivska Oblast,minor,,
Bohorodchany,48.806996,24.538342,Ukraine,UA,Ivano-Frankivska Oblast,minor,,
Mykolayiv,49.523723,23.985219,Ukraine,UA,Lvivska Oblast,minor,,
Antratsyt,48.115032,39.091283,Ukraine,UA,Luhanska Oblast,minor,,
Volodarsk-Volynskyy,50.597645,28.442999,Ukraine,UA,Zhytomyrska Oblast,minor,,
Volodarske,47.20533,37.321386,Ukraine,UA,Donetska Oblast,minor,,
Krasni Okny,47.540443,29.460013,Ukraine,UA,Odeska Oblast,minor,,
Chornobay,49.666438,32.329325,Ukraine,UA,Cherkaska Oblast,minor,,
Radyvyliv,50.129938,25.255764,Ukraine,UA,Rivnenska Oblast,minor,,
Baryshivka,50.36098,31.32173,Ukraine,UA,Kyyivska Oblast,minor,,
Velyka Mykhaylivka,47.079711,29.857533,Ukraine,UA,Odeska Oblast,minor,,
Mahdalynivka,48.921108,34.914908,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Tsarychanka,48.936973,34.478596,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Borova,49.377695,37.621363,Ukraine,UA,Kharkivska Oblast,minor,,
Kamyanka,49.031801,32.103964,Ukraine,UA,Cherkaska Oblast,minor,,
Novopskov,49.546402,39.089867,Ukraine,UA,Luhanska Oblast,minor,,
Lozova,48.889369,36.317546,Ukraine,UA,Kharkivska Oblast,minor,,
Dobrovelychkivka,48.387778,31.180278,Ukraine,UA,Kirovohradska Oblast,minor,,
Kostyantynivka,48.527701,37.706905,Ukraine,UA,Donetska Oblast,minor,,
Pyryatyn,50.242421,32.506211,Ukraine,UA,Poltavska Oblast,minor,,
Zachepylivka,49.193846,35.239433,Ukraine,UA,Kharkivska Oblast,minor,,
Mashivka,49.443077,34.866875,Ukraine,UA,Poltavska Oblast,minor,,
Dubno,50.416937,25.734325,Ukraine,UA,Rivnenska Oblast,minor,,
Berezne,51.000942,26.751061,Ukraine,UA,Rivnenska Oblast,minor,,
Lokhvytsya,50.367757,33.260244,Ukraine,UA,Poltavska Oblast,minor,,
Talne,48.888772,30.694819,Ukraine,UA,Cherkaska Oblast,minor,,
Talalayivka,50.839127,33.143741,Ukraine,UA,Chernihivska Oblast,minor,,
Pustomyty,49.715321,23.912951,Ukraine,UA,Lvivska Oblast,minor,,
Novohrad-Volynskyy,50.59412,27.616503,Ukraine,UA,Zhytomyrska Oblast,minor,,
Artsyz,45.991936,29.418236,Ukraine,UA,Odeska Oblast,minor,,
Blyznyuky,48.857747,36.555046,Ukraine,UA,Kharkivska Oblast,minor,,
Andrushivka,50.022878,29.020226,Ukraine,UA,Zhytomyrska Oblast,minor,,
Dvorichna,49.850187,37.682621,Ukraine,UA,Kharkivska Oblast,minor,,
Kamyanka-Buzka,50.106546,24.344509,Ukraine,UA,Lvivska Oblast,minor,,
Ruzhyn,49.722804,29.204548,Ukraine,UA,Zhytomyrska Oblast,minor,,
Letychiv,49.382631,27.630511,Ukraine,UA,Khmelnytska Oblast,minor,,
Nadvirna,48.634799,24.569364,Ukraine,UA,Ivano-Frankivska Oblast,minor,,
Lutuhyne,48.40507,39.226754,Ukraine,UA,Luhanska Oblast,minor,,
Lenine,45.298571,35.777083,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Dubrovytsya,51.57438,26.565034,Ukraine,UA,Rivnenska Oblast,minor,,
Starokostyantyniv,49.757637,27.20342,Ukraine,UA,Khmelnytska Oblast,minor,,
Korets,50.616545,27.16055,Ukraine,UA,Rivnenska Oblast,minor,,
Tatarbunary,45.837308,29.614243,Ukraine,UA,Odeska Oblast,minor,,
Bilovodsk,49.20543,39.582793,Ukraine,UA,Luhanska Oblast,minor,,
Kiliya,45.455181,29.263672,Ukraine,UA,Odeska Oblast,minor,,
Radomyshl,50.496132,29.229108,Ukraine,UA,Zhytomyrska Oblast,minor,,
Teofipol,49.838182,26.414332,Ukraine,UA,Khmelnytska Oblast,minor,,
Krasnohvardiyske,45.502711,34.301342,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Balta,47.935476,29.619822,Ukraine,UA,Odeska Oblast,minor,,
Kaniv,49.751825,31.460044,Ukraine,UA,Cherkaska Oblast,minor,,
Verkhnodniprovsk,48.652423,34.334571,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Horodok,49.163739,26.58394,Ukraine,UA,Khmelnytska Oblast,minor,,
Hlyboka,48.089711,25.929333,Ukraine,UA,Chernivetska Oblast,minor,,
Malyn,50.772332,29.238328,Ukraine,UA,Zhytomyrska Oblast,minor,,
Kremenets,50.096928,25.724586,Ukraine,UA,Ternopilska Oblast,minor,,
Rozdolne,45.770828,33.487769,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Velyka Bahachka,49.791162,33.72258,Ukraine,UA,Poltavska Oblast,minor,,
Velyka Oleksandrivka,47.319691,33.303734,Ukraine,UA,Khersonska Oblast,minor,,
Velyka Bilozerka,47.277556,34.706158,Ukraine,UA,Zaporizka Oblast,minor,,
Novhorodka,48.365061,32.657846,Ukraine,UA,Kirovohradska Oblast,minor,,
Novhorod-Siverskyy,52.005772,33.261498,Ukraine,UA,Chernihivska Oblast,minor,,
Hulyaypole,47.663893,36.256326,Ukraine,UA,Zaporizka Oblast,minor,,
Nova Ushytsya,48.837157,27.274337,Ukraine,UA,Khmelnytska Oblast,minor,,
Hlobyne,49.387837,33.259587,Ukraine,UA,Poltavska Oblast,minor,,
Sosnytsya,51.523873,32.499849,Ukraine,UA,Chernihivska Oblast,minor,,
Bakhmach,51.200933,32.774507,Ukraine,UA,Chernihivska Oblast,minor,,
Petrove,48.324674,33.256166,Ukraine,UA,Kirovohradska Oblast,minor,,
Yasynuvata,48.129804,37.859402,Ukraine,UA,Donetska Oblast,minor,,
Vyshhorod,50.584758,30.489799,Ukraine,UA,Kyyivska Oblast,minor,,
Enerhodar,47.503635,34.630044,Ukraine,UA,Zaporizka Oblast,minor,,
Yuryivka,48.737479,36.019875,Ukraine,UA,Dnipropetrovska Oblast,minor,,
Olevsk,51.22482,27.652281,Ukraine,UA,Zhytomyrska Oblast,minor,,
Kamyanka-Dniprovska,47.484813,34.41146,Ukraine,UA,Zaporizka Oblast,minor,,
Kamin-Kashyrskyy,51.62412,24.958641,Ukraine,UA,Volynska Oblast,minor,,
Novoselytsya,48.219314,26.26531,Ukraine,UA,Chernivetska Oblast,minor,,
Ripky,51.801046,31.083827,Ukraine,UA,Chernihivska Oblast,minor,,
Manevychi,51.294052,25.534356,Ukraine,UA,Volynska Oblast,minor,,
Zbarazh,49.663574,25.776162,Ukraine,UA,Ternopilska Oblast,minor,,
Krasnohrad,49.38009,35.441861,Ukraine,UA,Kharkivska Oblast,minor,,
Zhmerynka,49.03705,28.112013,Ukraine,UA,Vinnytska Oblast,minor,,
Novotroyitske,46.355601,34.332718,Ukraine,UA,Khersonska Oblast,minor,,
